Date,Volume(Adjusted),Open,High,Low,Close,Adj Close,Volume
19/9/2019,133041.7,26820.73047,26820.73047,26372.08984,26468.94922,26468.94922,1330417000
20/9/2019,197298.58,26532.88086,26564.35938,26410.41016,26435.66992,26435.66992,1972985800
23/9/2019,128545.29,26463.61914,26483.0293,26186.00977,26222.40039,26222.40039,1285452900
24/9/2019,208936.6,26300.21094,26391.98047,26207.26953,26281,26281,2089366000
25/9/2019,176262.23,26162.71094,26190.56055,25917.67969,25945.34961,25945.34961,1762622300
26/9/2019,170023.86,26075.15039,26099.64063,25917.58008,26041.92969,26041.92969,1700238600
27/9/2019,98427.95,25977.98047,26017.46094,25840.66016,25954.81055,25954.81055,984279500
30/9/2019,134393.48,25844.71094,26161.69922,25786.28906,26092.26953,26092.26953,1343934800
2/10/2019,120215.38,25901.4707,26092.61914,25778.2207,26042.68945,26042.68945,1202153800
3/10/2019,114235.1,25831.43945,26192.86914,25809.4707,26110.31055,26110.31055,1142351000
4/10/2019,113724.37,26169.50977,26169.50977,25612.49023,25821.0293,25821.0293,1137243700
8/10/2019,177911.04,25848.73047,26180.0293,25761.5,25893.40039,25893.40039,1779110400
9/10/2019,158833.45,25736.88086,25866.83984,25656.66016,25682.81055,25682.81055,1588334500
10/10/2019,143423.16,25625.57031,25809.58008,25521.94922,25707.92969,25707.92969,1434231600
11/10/2019,203097.79,25986.82031,26393.00977,25976.07031,26308.43945,26308.43945,2030977900
14/10/2019,209625.18,26520.92969,26636.92969,26386.41016,26521.84961,26521.84961,2096251800
15/10/2019,156921.15,26609.13086,26609.13086,26433.42969,26503.92969,26503.92969,1569211500
16/10/2019,168938.91,26553.90039,26698.56055,26432.42969,26664.2793,26664.2793,1689389100
